[2026-02-19 19:56:28] SERVER: avvio in corso
[2026-02-19 19:56:28] SERVER: in ascolto sulla porta 8080
[2026-02-19 19:56:28] SERVER: nuova partita pronta, in attesa di giocatori
[2026-02-19 19:56:53] [ent@127.0.0.1] MOVE: 'S' (pos: 4,37)
[2026-02-19 19:56:53] [ent@127.0.0.1] MOVE: nuova pos (5,37)
[2026-02-19 19:56:54] [ent@127.0.0.1] MOVE: 'D' (pos: 5,37)
[2026-02-19 19:56:54] [ent@127.0.0.1] MOVE: nuova pos (5,38)
[2026-02-19 19:56:54] [ent@127.0.0.1] MOVE: 'D' (pos: 5,38)
[2026-02-19 19:56:54] [ent@127.0.0.1] MOVE: nuova pos (5,39)
[2026-02-19 19:56:55] [ent@127.0.0.1] MOVE: 'S' (pos: 5,39)
[2026-02-19 19:56:55] [ent@127.0.0.1] MOVE: nuova pos (6,39)
[2026-02-19 19:56:55] [ent@127.0.0.1] MOVE: 'S' (pos: 6,39)
[2026-02-19 19:56:55] [ent@127.0.0.1] MOVE: nuova pos (7,39)
[2026-02-19 19:56:55] [ent@127.0.0.1] MOVE: 'D' (pos: 7,39)
[2026-02-19 19:56:55] [ent@127.0.0.1] MOVE: nuova pos (7,40)
[2026-02-19 19:56:55] [ent@127.0.0.1] MOVE: 'D' (pos: 7,40)
[2026-02-19 19:56:55] [ent@127.0.0.1] MOVE: nuova pos (7,41)
[2026-02-19 19:56:56] [ent@127.0.0.1] MOVE: 'W' (pos: 7,41)
[2026-02-19 19:56:56] [ent@127.0.0.1] MOVE: nuova pos (6,41)
[2026-02-19 19:56:56] [ent@127.0.0.1] MOVE: 'W' (pos: 6,41)
[2026-02-19 19:56:56] [ent@127.0.0.1] MOVE: nuova pos (5,41)
[2026-02-19 19:56:56] [ent@127.0.0.1] MOVE: 'D' (pos: 5,41)
[2026-02-19 19:56:56] [ent@127.0.0.1] MOVE: nuova pos (5,42)
[2026-02-19 19:56:57] [ent@127.0.0.1] MOVE: 'D' (pos: 5,42)
[2026-02-19 19:56:57] [ent@127.0.0.1] MOVE: nuova pos (5,43)
[2026-02-19 19:56:57] [ent@127.0.0.1] MOVE: 'S' (pos: 5,43)
[2026-02-19 19:56:57] [ent@127.0.0.1] MOVE: nuova pos (6,43)
[2026-02-19 19:56:57] [ent@127.0.0.1] MOVE: 'S' (pos: 6,43)
[2026-02-19 19:56:57] [ent@127.0.0.1] ITEM: raccolto in (7,43), totale=1
[2026-02-19 19:56:57] [ent@127.0.0.1] MOVE: nuova pos (7,43)
[2026-02-19 19:56:58] [ent@127.0.0.1] MOVE: 'S' (pos: 7,43)
[2026-02-19 19:56:58] [ent@127.0.0.1] MOVE: nuova pos (8,43)
[2026-02-19 19:56:58] [ent@127.0.0.1] MOVE: 'S' (pos: 8,43)
[2026-02-19 19:56:58] [ent@127.0.0.1] MOVE: nuova pos (9,43)
[2026-02-19 19:56:59] [ent@127.0.0.1] MOVE: 'D' (pos: 9,43)
[2026-02-19 19:56:59] [ent@127.0.0.1] MOVE: nuova pos (9,44)
[2026-02-19 19:57:00] [ent@127.0.0.1] MOVE: 'D' (pos: 9,44)
[2026-02-19 19:57:00] [ent@127.0.0.1] MOVE: nuova pos (9,45)
[2026-02-19 19:57:00] [ent@127.0.0.1] MOVE: 'S' (pos: 9,45)
[2026-02-19 19:57:00] [ent@127.0.0.1] MOVE: nuova pos (10,45)
[2026-02-19 19:57:00] [ent@127.0.0.1] MOVE: 'S' (pos: 10,45)
[2026-02-19 19:57:00] [ent@127.0.0.1] MOVE: nuova pos (11,45)
[2026-02-19 19:57:01] [ent@127.0.0.1] MOVE: 'D' (pos: 11,45)
[2026-02-19 19:57:01] [ent@127.0.0.1] MOVE: nuova pos (11,46)
[2026-02-19 19:57:02] [ent@127.0.0.1] MOVE: 'D' (pos: 11,46)
[2026-02-19 19:57:02] [ent@127.0.0.1] MOVE: nuova pos (11,47)
[2026-02-19 19:57:02] [ent@127.0.0.1] MOVE: 'W' (pos: 11,47)
[2026-02-19 19:57:02] [ent@127.0.0.1] MOVE: nuova pos (10,47)
[2026-02-19 19:57:02] [ent@127.0.0.1] MOVE: 'W' (pos: 10,47)
[2026-02-19 19:57:02] [ent@127.0.0.1] MOVE: nuova pos (9,47)
[2026-02-19 19:57:03] [ent@127.0.0.1] MOVE: 'D' (pos: 9,47)
[2026-02-19 19:57:03] [ent@127.0.0.1] MOVE: nuova pos (9,48)
[2026-02-19 19:57:03] [ent@127.0.0.1] MOVE: 'D' (pos: 9,48)
[2026-02-19 19:57:03] [ent@127.0.0.1] MOVE: nuova pos (9,49)
[2026-02-19 19:57:04] [ent@127.0.0.1] MOVE: 'W' (pos: 9,49)
[2026-02-19 19:57:04] [ent@127.0.0.1] MOVE: nuova pos (8,49)
[2026-02-19 19:57:04] [ent@127.0.0.1] MOVE: 'W' (pos: 8,49)
[2026-02-19 19:57:04] [ent@127.0.0.1] MOVE: nuova pos (7,49)
[2026-02-19 19:57:05] [ent@127.0.0.1] MOVE: 'A' (pos: 7,49)
[2026-02-19 19:57:05] [ent@127.0.0.1] MOVE: nuova pos (7,48)
[2026-02-19 19:57:05] [ent@127.0.0.1] MOVE: 'A' (pos: 7,48)
[2026-02-19 19:57:05] [ent@127.0.0.1] MOVE: nuova pos (7,47)
[2026-02-19 19:57:05] [ent@127.0.0.1] MOVE: 'W' (pos: 7,47)
[2026-02-19 19:57:05] [ent@127.0.0.1] MOVE: nuova pos (6,47)
[2026-02-19 19:57:06] [ent@127.0.0.1] MOVE: 'W' (pos: 6,47)
[2026-02-19 19:57:06] [ent@127.0.0.1] MOVE: nuova pos (5,47)
[2026-02-19 19:57:06] [ent@127.0.0.1] MOVE: 'D' (pos: 5,47)
[2026-02-19 19:57:06] [ent@127.0.0.1] MOVE: bloccato dal muro
[2026-02-19 19:57:07] [ent@127.0.0.1] MOVE: 'A' (pos: 5,47)
[2026-02-19 19:57:07] [ent@127.0.0.1] MOVE: nuova pos (5,46)
[2026-02-19 19:57:07] [ent@127.0.0.1] MOVE: 'A' (pos: 5,46)
[2026-02-19 19:57:07] [ent@127.0.0.1] MOVE: nuova pos (5,45)
[2026-02-19 19:57:07] [ent@127.0.0.1] MOVE: 'W' (pos: 5,45)
[2026-02-19 19:57:07] [ent@127.0.0.1] MOVE: nuova pos (4,45)
[2026-02-19 19:57:08] [ent@127.0.0.1] MOVE: 'W' (pos: 4,45)
[2026-02-19 19:57:08] [ent@127.0.0.1] MOVE: nuova pos (3,45)
[2026-02-19 19:57:08] [ent@127.0.0.1] MOVE: 'D' (pos: 3,45)
[2026-02-19 19:57:08] [ent@127.0.0.1] MOVE: nuova pos (3,46)
